message,es,percentage_es,en,percentage_en,comments,example,type,message_l2
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject verb:locative past prep det noun:goal,0.92,pron:subject verb:locative past prep det noun:goal,0.92,simple_past_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING",det noun:thing adj aux::present:progressive:singular verb:inanim-intrans prg,0.52,det adj noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.52,present_progressive_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,ACTION-LINKING",det noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.67,det noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.67,present_progressive_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING",det noun:thing adj aux::past:progressive:singular verb:inanim-intrans prg,0.52,det adj noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.52,past_progressive_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,Y,ACTION-LINKING",det noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.67,det noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.67,past_progressive_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,Y,Y-MOD,ACTION-LINKING",det noun:thing adj aux::present:perfect:singular verb:inanim-intrans prf,0.52,det adj noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.52,present_perfect_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,Y,ACTION-LINKING",det noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.67,det noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.67,present_perfect_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,Y,Y-MOD,ACTION-LINKING",det noun:thing adj verb:inanim-intrans,0.52,det adj noun:thing verb:inanim-intrans,0.52,simple_present_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING",det noun:thing verb:inanim-intrans,0.67,det noun:thing verb:inanim-intrans,0.67,simple_present_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,Y,Y-MOD,ACTION-LINKING",det noun:thing adj verb:inanim-intrans past,0.52,det adj noun:thing verb:inanim-intrans past,0.52,simple_past_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING",det noun:thing verb:inanim-intrans past,0.67,det noun:thing verb:inanim-intrans past,0.67,simple_past_inanimate_intransitive,,inanim_intrans,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5",det noun:mover adj verb:theme-exp to det noun:animate,0.67,det adj noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_adj_active_50,,theme_exp_active,"X=;X-MOD=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5"
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5",det noun:mover verb:theme-exp to det noun:animate,0.67,det noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_active_50,,theme_exp_active,"X=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5"
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5",pron:subject verb:theme-exp to det noun:animate,0.67,pron:subject verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_pron_active_50,,theme_exp_active,"X=pron;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5"
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5",det noun:mover adj verb:theme-exp past to det noun:animate,0.67,det adj noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_adj_active_50,,theme_exp_active,"X=;X-MOD=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5"
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5",det noun:mover verb:theme-exp past to det noun:animate,0.67,det noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_active_50,,theme_exp_active,"X=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5"
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5",pron:subject verb:theme-exp past to det noun:animate,0.67,pron:subject verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_pron_active_50,,theme_exp_active,"X=pron;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5"
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75",det noun:mover adj verb:theme-exp to det noun:animate,0.67,det adj noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_adj_active_75,,theme_exp_active,"X=;X-MOD=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75"
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75",det noun:mover verb:theme-exp to det noun:animate,0.67,det noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_active_75,,theme_exp_active,"X=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75"
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75",pron:subject verb:theme-exp to det noun:animate,0.67,pron:subject verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_pron_active_75,,theme_exp_active,"X=pron;ACTION-LINKING=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75"
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75",det noun:mover adj verb:theme-exp past to det noun:animate,0.67,det adj noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_adj_active_75,,theme_exp_active,"X=;X-MOD=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75"
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75",det noun:mover verb:theme-exp past to det noun:animate,0.67,det noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_active_75,,theme_exp_active,"X=;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75"
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75",pron:subject verb:theme-exp past to det noun:animate,0.67,pron:subject verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_pron_active_75,,theme_exp_active,"X=pron;ACTION-LINKING=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75"
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PRESENT,SIMPLE,X:0.5,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover adj,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_present_theme_experiencer_adj_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_present_theme_experiencer_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PRESENT,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_present_theme_experiencer_pron_object_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,X:0.5,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover adj,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_past_theme_experiencer_adj_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_past_theme_experiencer_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_past_theme_experiencer_pron_object_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PRESENT,SIMPLE,X:0.75,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover adj,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_present_theme_experiencer_adj_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_present_theme_experiencer_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PRESENT,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_present_theme_experiencer_pron_object_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,X:0.75,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover adj,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_past_theme_experiencer_adj_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_past_theme_experiencer_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_past_theme_experiencer_pron_object_passive_75,,theme_exp_passive,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5",det noun:animate verb:transitive det noun:thing,0.57,det noun:animate verb:transitive det noun:thing,0.57,simple_present_transitive_active_50,,transitive_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75",det noun:animate verb:transitive det noun:thing,0.57,det noun:animate verb:transitive det noun:thing,0.57,simple_present_transitive_active_75,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5",det noun:animate adj verb:transitive det noun:thing,0.34,det adj noun:animate verb:transitive det noun:thing,0.34,simple_present_transitive_adj_active_50,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75",det noun:animate adj verb:transitive det noun:thing,0.34,det adj noun:animate verb:transitive det noun:thing,0.34,simple_present_transitive_adj_active_75,,transitive_active,
